,,2018_2Q,2018_1Q,2017_4Q,2017_3Q,2017_2Q,2017_1Q,2016_4Q,2016_3Q
1325,營業外收入及支出,20.0,-5.0,-2.0,5.0,5.0,-21.0,15.0,-9.0
1325,稅後淨利,24.0,7.0,15.0,13.0,11.0,1.0,35.0,10.0
1325,每股盈餘,0.28,0.1,0.18,0.17,0.14,0.02,0.37,0.1
1326,營業收入淨額,99697.0,98957.0,98792.0,88202.0,82168.0,89260.0,82191.0,79939.0
1326,營業利益,10539.0,12082.0,11818.0,10565.0,4780.0,11752.0,7019.0,8251.0
1326,營業外收入及支出,9208.0,4052.0,7474.0,10440.0,7340.0,2538.0,4362.0,9595.0
1326,稅後淨利,15201.0,14437.0,15402.0,19023.0,9894.0,12692.0,10662.0,16601.0
1326,每股盈餘,2.45,2.22,2.77,3.1,1.45,2.0,1.51,2.56
1339,營業收入淨額,709.0,723.0,804.0,671.0,681.0,682.0,745.0,592.0
1339,營業利益,80.0,115.0,137.0,112.0,134.0,124.0,149.0,80.0
1339,營業外收入及支出,165.0,-52.0,-58.0,15.0,18.0,-139.0,84.0,-59.0
1339,稅後淨利,142.0,46.0,85.0,96.0,94.0,3.0,172.0,26.0
1339,每股盈餘,2.73,0.75,1.02,1.4,1.52,-0.22,2.44,0.26
4306,營業收入淨額,5149.0,5100.0,5792.0,4554.0,4467.0,4166.0,4616.0,5576.0
4306,營業利益,116.0,342.0,491.0,141.0,39.0,153.0,101.0,174.0
4306,營業外收入及支出,-145.0,145.0,-78.0,39.0,137.0,-167.0,-205.0,-240.0
4306,稅後淨利,-22.0,261.0,343.0,150.0,-25.0,-83.0,-126.0,12.0
4306,每股盈餘,-0.06,0.87,0.81,0.26,0.28,-0.03,-0.21,-0.09
1402,營業收入淨額,53939.0,51458.0,58132.0,54890.0,52908.0,50270.0,56402.0,52870.0
1402,營業利益,5005.0,3492.0,3374.0,5462.0,2846.0,3753.0,2320.0,4131.0
1402,營業外收入及支出,3337.0,1136.0,-105.0,742.0,1019.0,-198.0,1954.0,-235.0
1402,稅後淨利,5034.0,4011.0,4170.0,5440.0,2663.0,2775.0,2028.0,2897.0
1402,每股盈餘,0.98,0.49,0.33,0.72,0.31,0.26,0.48,0.27
1409,營業收入淨額,10570.0,8772.0,4593.0,8191.0,8316.0,8755.0,10383.0,10532.0
1409,營業利益,1384.0,552.0,-236.0,661.0,392.0,957.0,389.0,443.0
1409,營業外收入及支出,-61.0,-174.0,788.0,-188.0,-281.0,-478.0,73.0,-7.0
1409,稅後淨利,1081.0,231.0,643.0,298.0,59.0,331.0,412.0,261.0
1409,每股盈餘,0.56,0.13,0.4,0.17,0.03,0.1,0.14,0.1
1410,營業收入淨額,134.0,114.0,118.0,124.0,131.0,124.0,134.0,135.0
1410,營業利益,32.0,28.0,32.0,29.0,36.0,27.0,37.0,33.0
1410,營業外收入及支出,12.0,-3.0,0.0,2.0,3.0,-3.0,5.0,-1.0
1410,稅後淨利,37.0,20.0,26.0,25.0,32.0,19.0,35.0,26.0
1410,每股盈餘,0.48,0.25,0.33,0.32,0.41,0.22,0.44,0.33
1413,營業收入淨額,873.0,906.0,814.0,762.0,831.0,754.0,635.0,581.0
1413,營業利益,58.0,53.0,57.0,40.0,30.0,-5.0,-16.0,-22.0
1413,營業外收入及支出,5.0,-2.0,-3.0,0.0,-1.0,-3.0,-1.0,-1.0
1413,稅後淨利,81.0,51.0,54.0,40.0,29.0,-7.0,-20.0,-24.0
1413,每股盈餘,0.61,0.39,0.41,0.3,0.22,-0.05,-0.16,-0.18
1414,營業收入淨額,213.0,231.0,188.0,107.0,172.0,205.0,234.0,243.0
1414,營業利益,1.0,6.0,-12.0,-36.0,5.0,1.0,1.0,-10.0
1414,營業外收入及支出,10.0,-3.0,-4.0,140.0,2.0,-4.0,4.0,9.0
1414,稅後淨利,10.0,6.0,-17.0,-19.0,6.0,-4.0,6.0,-2.0
1414,每股盈餘,0.05,0.02,-0.08,0.47,0.03,-0.02,0.02,-0.01
1416,營業收入淨額,21.0,22.0,62.0,62.0,937.0,1028.0,182.0,121.0
1416,營業利益,-20.0,-20.0,-21.0,-8.0,66.0,92.0,-123.0,-20.0
1416,營業外收入及支出,-6.0,116.0,109.0,-17.0,1.0,24.0,-51.0,169.0
1416,稅後淨利,-31.0,-41.0,-27.0,-43.0,57.0,141.0,-167.0,-43.0
1416,每股盈餘,-0.15,0.44,0.34,-0.21,0.27,0.69,-0.59,0.6
1417,營業收入淨額,323.0,458.0,467.0,455.0,480.0,631.0,683.0,711.0
1417,營業利益,-94.0,-102.0,-142.0,-131.0,-110.0,-125.0,-63.0,-119.0
1417,營業外收入及支出,75.0,52.0,-3.0,37.0,30.0,-15.0,7.0,31.0
1417,稅後淨利,-70.0,-104.0,-162.0,-98.0,-75.0,-149.0,-51.0,-96.0
1417,每股盈餘,-0.07,-0.16,-0.38,-0.25,-0.21,-0.37,-0.15,-0.23
1418,營業收入淨額,280.0,155.0,404.0,312.0,495.0,428.0,433.0,391.0
1418,營業利益,-31.0,-52.0,-75.0,-79.0,-84.0,-52.0,-61.0,-63.0
1418,營業外收入及支出,-5.0,-8.0,-9.0,-5.0,-8.0,-5.0,-5.0,5.0
1418,稅後淨利,-36.0,-60.0,-84.0,-85.0,-93.0,-59.0,-66.0,-59.0
1418,每股盈餘,-0.66,-1.11,-1.94,-1.91,-0.75,-0.48,-0.54,-0.48
1419,營業收入淨額,307.0,278.0,399.0,292.0,239.0,283.0,329.0,260.0
1419,營業利益,-8.0,-46.0,-31.0,-36.0,-24.0,-35.0,3.0,-29.0
1419,營業外收入及支出,66.0,-14.0,1315.0,205.0,11.0,-24.0,14.0,189.0
1419,稅後淨利,30.0,-60.0,-205.0,169.0,-24.0,-71.0,15.0,164.0
1419,每股盈餘,0.18,-0.19,3.8,0.57,-0.04,-0.17,0.05,0.55
1423,營業收入淨額,207.0,219.0,255.0,122.0,162.0,143.0,154.0,170.0
1423,營業利益,14.0,2.0,4.0,-1.0,6.0,-5.0,4.0,-3.0
1423,營業外收入及支出,26.0,15.0,-3.0,18.0,17.0,13.0,-11.0,6.0
1423,稅後淨利,28.0,3.0,0.0,9.0,15.0,-23.0,-12.0,4.0
1423,每股盈餘,0.2,0.1,0.01,0.1,0.13,0.03,-0.04,0.02
1434,營業收入淨額,11737.0,10730.0,9776.0,9829.0,10846.0,10254.0,9524.0,9533.0
1434,營業利益,843.0,630.0,647.0,458.0,587.0,770.0,465.0,509.0
1434,營業外收入及支出,1114.0,-77.0,56.0,517.0,2377.0,-135.0,111.0,1745.0
1434,稅後淨利,567.0,382.0,437.0,741.0,2763.0,501.0,455.0,2133.0
1434,每股盈餘,0.75,0.17,0.26,0.45,1.58,0.26,0.22,1.21
1439,營業收入淨額,76.0,61.0,70.0,46.0,58.0,73.0,93.0,63.0
1439,營業利益,-9.0,-5.0,-2.0,-4.0,-5.0,-5.0,-5.0,-4.0
1439,營業外收入及支出,-5.0,3.0,0.0,2.0,3.0,3.0,38.0,9.0
1439,稅後淨利,-9.0,-3.0,0.0,-1.0,-2.0,-2.0,-8.0,0.0
1439,每股盈餘,-0.15,-0.03,-0.02,-0.02,-0.02,-0.02,0.3,0.04
1440,營業收入淨額,6309.0,5807.0,5496.0,5335.0,4993.0,5039.0,4942.0,5424.0
1440,營業利益,401.0,197.0,88.0,-6.0,111.0,122.0,42.0,108.0
1440,營業外收入及支出,296.0,20.0,76.0,218.0,129.0,10.0,134.0,115.0
