,,2018_2Q,2018_1Q,2017_4Q,2017_3Q,2017_2Q,2017_1Q,2016_4Q,2016_3Q
1324,籌資活動之現金流量,-23.0,0.0,0.0,0.0,-30.0,0.0,0.0,-30.0
1324,本期產生現金流量,-70.0,-6.0,82.0,-99.0,82.0,-55.0,45.0,-33.0
1325,來自營運之現金流量,12.0,31.0,18.0,17.0,58.0,44.0,7.0,51.0
1325,投資活動之現金流量,-81.0,36.0,-37.0,60.0,-62.0,-25.0,109.0,23.0
1325,籌資活動之現金流量,0.0,0.0,0.0,-72.0,0.0,0.0,-150.0,-75.0
1325,本期產生現金流量,-69.0,68.0,-20.0,6.0,-3.0,16.0,-35.0,-3.0
1326,來自營運之現金流量,12866.0,1782.0,17824.0,37193.0,14668.0,1555.0,9700.0,24944.0
1326,投資活動之現金流量,-7392.0,-6489.0,-2882.0,-13054.0,-9197.0,9668.0,-5871.0,-7599.0
1326,籌資活動之現金流量,-470.0,847.0,-11038.0,-43096.0,-3658.0,2096.0,-2674.0,-27342.0
1326,本期產生現金流量,5209.0,-3713.0,3782.0,-19269.0,1611.0,13169.0,2352.0,-10498.0
1339,來自營運之現金流量,256.0,164.0,50.0,43.0,182.0,153.0,215.0,155.0
1339,投資活動之現金流量,-88.0,-73.0,-35.0,82.0,-440.0,-223.0,-139.0,-228.0
1339,籌資活動之現金流量,-56.0,-41.0,-234.0,-192.0,285.0,143.0,-3.0,185.0
1339,本期產生現金流量,98.0,66.0,-145.0,-107.0,29.0,70.0,107.0,108.0
4306,來自營運之現金流量,475.0,265.0,1708.0,281.0,-395.0,27.0,-179.0,512.0
4306,投資活動之現金流量,-1111.0,-556.0,-624.0,-61.0,-408.0,-285.0,-173.0,-333.0
4306,籌資活動之現金流量,1014.0,-14.0,-1092.0,-124.0,309.0,747.0,-179.0,48.0
4306,本期產生現金流量,389.0,-275.0,229.0,145.0,-556.0,290.0,-217.0,67.0
1402,來自營運之現金流量,6869.0,3341.0,5232.0,12788.0,7965.0,3804.0,4931.0,11313.0
1402,投資活動之現金流量,-1433.0,-8992.0,-11137.0,-6155.0,-6868.0,-2575.0,-5919.0,-5410.0
1402,籌資活動之現金流量,1620.0,13518.0,6776.0,-20338.0,10669.0,-10178.0,-5865.0,-8642.0
1402,本期產生現金流量,6719.0,7940.0,1167.0,-13628.0,12145.0,-9896.0,-6854.0,-2705.0
1409,來自營運之現金流量,-2513.0,867.0,3662.0,-1742.0,-1034.0,12.0,2949.0,263.0
1409,投資活動之現金流量,1588.0,-1716.0,14.0,241.0,-661.0,1599.0,-1324.0,-812.0
1409,籌資活動之現金流量,-57.0,913.0,-3396.0,1364.0,2492.0,-1180.0,-1658.0,14.0
1409,本期產生現金流量,-873.0,-53.0,289.0,-124.0,709.0,388.0,0.0,-238.0
1410,來自營運之現金流量,38.0,38.0,45.0,35.0,27.0,41.0,63.0,50.0
1410,投資活動之現金流量,45.0,-79.0,-3.0,79.0,2.0,-39.0,-6.0,24.0
1410,籌資活動之現金流量,0.0,0.0,0.0,-116.0,0.0,0.0,0.0,-102.0
1410,本期產生現金流量,83.0,-40.0,42.0,-2.0,29.0,1.0,57.0,-29.0
1413,來自營運之現金流量,148.0,16.0,108.0,36.0,95.0,60.0,41.0,-39.0
1413,投資活動之現金流量,59.0,32.0,1.0,-8.0,-106.0,-8.0,-4.0,-4.0
1413,籌資活動之現金流量,-268.0,-59.0,-100.0,21.0,-58.0,35.0,-74.0,58.0
1413,本期產生現金流量,-61.0,-10.0,9.0,49.0,-69.0,87.0,-37.0,16.0
1414,來自營運之現金流量,83.0,15.0,-61.0,-7.0,29.0,-87.0,-29.0,157.0
1414,投資活動之現金流量,-1.0,-31.0,-20.0,212.0,180.0,-7.0,-4.0,-14.0
1414,籌資活動之現金流量,-69.0,-27.0,71.0,-214.0,-137.0,72.0,-1.0,-75.0
1414,本期產生現金流量,13.0,-43.0,-10.0,-9.0,72.0,-22.0,-34.0,68.0
1416,來自營運之現金流量,-96.0,-69.0,-85.0,333.0,442.0,444.0,-9.0,-131.0
1416,投資活動之現金流量,-6.0,86.0,133.0,-85.0,-96.0,43.0,-245.0,-16.0
1416,籌資活動之現金流量,145.0,-89.0,-416.0,-226.0,-35.0,-166.0,-268.0,-342.0
1416,本期產生現金流量,44.0,-75.0,-372.0,-1.0,311.0,320.0,-534.0,-491.0
1417,來自營運之現金流量,20.0,40.0,254.0,-201.0,107.0,109.0,122.0,-362.0
1417,投資活動之現金流量,-64.0,141.0,-134.0,107.0,-102.0,34.0,12.0,89.0
1417,籌資活動之現金流量,-39.0,-68.0,-71.0,-82.0,-57.0,-22.0,33.0,-1.0
1417,本期產生現金流量,-78.0,112.0,46.0,-175.0,-40.0,92.0,170.0,-286.0
1418,來自營運之現金流量,34.0,-121.0,-55.0,-29.0,-145.0,6.0,22.0,-83.0
1418,投資活動之現金流量,-3.0,68.0,-7.0,-11.0,-19.0,-43.0,0.0,-19.0
1418,籌資活動之現金流量,-6.0,324.0,79.0,35.0,146.0,39.0,-14.0,99.0
1418,本期產生現金流量,25.0,272.0,16.0,-5.0,-18.0,2.0,8.0,-2.0
1419,來自營運之現金流量,187.0,-9.0,-188.0,28.0,-16.0,-44.0,-24.0,28.0
1419,投資活動之現金流量,647.0,-793.0,1452.0,187.0,5.0,8.0,-53.0,213.0
1419,籌資活動之現金流量,-1172.0,-166.0,11.0,-205.0,19.0,59.0,38.0,-181.0
1419,本期產生現金流量,-314.0,-980.0,1268.0,9.0,11.0,-5.0,-31.0,50.0
1423,來自營運之現金流量,13.0,16.0,84.0,-3.0,40.0,44.0,13.0,54.0
1423,投資活動之現金流量,48.0,52.0,28.0,9.0,-12.0,48.0,13.0,2.0
1423,籌資活動之現金流量,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1423,本期產生現金流量,60.0,69.0,112.0,7.0,28.0,92.0,25.0,56.0
1434,來自營運之現金流量,1046.0,-627.0,873.0,4223.0,893.0,346.0,-1161.0,3331.0
1434,投資活動之現金流量,11.0,-967.0,-1242.0,-912.0,-1042.0,-722.0,-176.0,-673.0
1434,籌資活動之現金流量,-1205.0,1769.0,-422.0,-3596.0,210.0,713.0,1488.0,-3437.0
1434,本期產生現金流量,-121.0,160.0,-791.0,-197.0,129.0,149.0,164.0,-778.0
1439,來自營運之現金流量,7.0,-4.0,10.0,-80.0,68.0,-3.0,6.0,-51.0
1439,投資活動之現金流量,18.0,3.0,2.0,2.0,2.0,2.0,43.0,13.0
1439,籌資活動之現金流量,0.0,0.0,0.0,0.0,-46.0,0.0,0.0,0.0
1439,本期產生現金流量,25.0,-1.0,13.0,-78.0,24.0,-1.0,49.0,-38.0
1440,來自營運之現金流量,-255.0,-238.0,117.0,1179.0,220.0,-608.0,591.0,752.0
1440,投資活動之現金流量,-136.0,-316.0,-384.0,-274.0,-241.0,-181.0,-331.0,-645.0
1440,籌資活動之現金流量,746.0,519.0,1394.0,-936.0,229.0,730.0,96.0,-71.0
1440,本期產生現金流量,519.0,-138.0,1121.0,7.0,218.0,-240.0,375.0,-25.0
1441,來自營運之現金流量,-13.0,-238.0,8.0,-54.0,-61.0,-157.0,-50.0,2.0
1441,投資活動之現金流量,1507.0,371.0,-15.0,-8.0,-20.0,7.0,-29.0,-278.0
1441,籌資活動之現金流量,-1454.0,-106.0,41.0,90.0,-19.0,192.0,-19.0,314.0
1441,本期產生現金流量,56.0,13.0,12.0,24.0,-78.0,20.0,-80.0,5.0
1443,來自營運之現金流量,48.0,-75.0,12.0,52.0,9.0,-131.0,26.0,-5.0
1443,投資活動之現金流量,-63.0,-140.0,-176.0,-146.0,-87.0,-68.0,0.0,33.0
1443,籌資活動之現金流量,12.0,264.0,166.0,130.0,100.0,117.0,-35.0,-176.0
1443,本期產生現金流量,0.0,34.0,-5.0,3.0,-11.0,17.0,5.0,-81.0
